BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.907, eventTime 1673981445962, localTimestamp 1673981446160, totalLatency 198
ETHUSDT: bestBid 1595.52, bestBitQuantity 85.003, bestAsk 1595.53, bestAskQuantity 21.039, eventTime 1673981445964, localTimestamp 1673981446161, totalLatency 197
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 11.637, eventTime 1673981445964, localTimestamp 1673981446161, totalLatency 197
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 12.629, eventTime 1673981445964, localTimestamp 1673981446163, totalLatency 199
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 13.229, eventTime 1673981445964, localTimestamp 1673981446163, totalLatency 199
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 14.639, eventTime 1673981445964, localTimestamp 1673981446164, totalLatency 200
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 15.629, eventTime 1673981445964, localTimestamp 1673981446165, totalLatency 201
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 16.622, eventTime 1673981445964, localTimestamp 1673981446165, totalLatency 201
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 18.497, eventTime 1673981445965, localTimestamp 1673981446165, totalLatency 200
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 19.898, eventTime 1673981445965, localTimestamp 1673981446165, totalLatency 200
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 20.198, eventTime 1673981445965, localTimestamp 1673981446168, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 20.396, eventTime 1673981445965, localTimestamp 1673981446168, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 21.743, eventTime 1673981445965, localTimestamp 1673981446168, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 21.876, eventTime 1673981445965, localTimestamp 1673981446169, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 22.870, eventTime 1673981445965, localTimestamp 1673981446169, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 22.882, eventTime 1673981445965, localTimestamp 1673981446169, totalLatency 204
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 23.482, eventTime 1673981445967, localTimestamp 1673981446170, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 23.646, eventTime 1673981445967, localTimestamp 1673981446170, totalLatency 203
